content,score,sentiment_clean
Ini kenapa jadwalnya ga update ya?,1,negative
Ok,5,positive
My 2nd times buying with this app and it's all right ! Keep it up !!,5,positive
Good aps,5,positive
Good,5,N/A
Jossss gandiooooosss,5,positive
👍🏾👍🏾,5,positive
Very helpfull,5,positive
Easy to use,5,positive
pesan tike jadi sangat mudah,5,negative
💓,5,positive
Mantap ga perlu antri...,5,positive
Very simple and very good app to book tickets,5,positive
Good,5,positive
Mantap 👍,5,positive
Easy to use,5,positive
Nice n fast,5,positive
Top,5,positive
Nice,5,positive
Please voucher nya dong,5,negative
"Ngga ada solusi untuk human error, beli tiket tapi salah bioskop. Ngga minta refund hanya jadwal saja diubah tapi pihak tix tidak ada solusi untuk ini. Mohon diperbaiki sistem customer servicenya terima kasih. Pesan untuk tim product atau mas Bagas gpp deh saya ilang tiket tapi ya seharusnya bisa untuk menambahan fitur reschedule, tiket pesawat dan hotel saja bisa kenapa bioskop tidak? Yakin ko kalo ada fitur ini bisa membuat user atau pengguna lebih nyaman. Terima kasih",1,negative
Good,5,N/A
"Good UI/UX, but only support DANA for payment option :(",4,mixed
Goof,5,negative
syusyah,1,negative
bagus banget,5,positive
Can't update why?,2,positive
Gudd,5,positive
Good experience..,5,positive
Akhirnya bisa connect DANA setelah reinstall,4,positive
Easy,5,positive
Nice App,5,positive
Helpfull to book some tickets for next week schedule movies,5,positive
Membantu sekali. Terima kasih,5,positive
Sangat memudahkan untuk booking film online,5,positive
"oke beut dibanding apps XXI, TIXID selain bs beli di bioskop manaaja, kecuali iflix, ga perlu isi voucher, jd duit ga ketahan di system dia, enak beut tahanin duit org, idr50k X 1juta orang aja uda berapa cong....",5,positive
Please add more payment methods for paying the ticket,5,negative
Helpful for new films hunter,5,positive
Seamless and simple. Sukak banget,5,positive
It's been a years after my first experience using this app. Glad this app improves a LOT especially with their cinemas options. Still hoping for expansion to some local cinema such as NSC and more.,5,positive
Setiap mau pesan loading selalu lama banget dan error. Sangat mengganggu dan menjengkelkan,1,negative
"Naisee, makasih udh jadi apps andalan buat ngedate 👌🏻👌🏻",5,positive
"Best UIUX among similar platforms! Easy to use, never experience the crash, short proccess until finished transactions. Very fun and useful!",5,positive
Kukud,4,negative
"Keresahan aja, kadang susah dibuka app nya apalagi setiap ada film yg laris",5,negative
Easy use,5,positive
Memudahkan,5,positive
Diperbanyak promo nya donk kak,5,positive
Cool,5,positive
Aplikasinya bagus dan mudah digunakan,5,positive
"yg suka nendang2 kursi depan, norak lu monyet!",5,negative
Good.. N,5,negative
Good,5,N/A
Gak ribet. Tapi kalau bisa banyakin promo lah,4,negative
"Bagus, 1 aplikasi untuk semua studio",5,positive
Mantul,5,negative
useful,5,positive
Nice,5,positive
Good,5,positive
Slow update,1,negative
Mudah dapat tiket bioskop tanpa perlu antri.,4,positive
Makin mahal ya biaya adminnya wkwkwkwk,4,negative
"Cm bs liat jam tayang, tdk bs beli tiket krn tdk bs daftar. Setiap daftar sampai tahapan masukkan password dan konfirm password, tdk ada respon dr aplikasi nya",1,negative
Good apps. Easy to use.,5,positive
Easy,5,positive
Very gud,5,positive
Praktis,5,positive
"Fast, movie updated, just fee quite expensive",5,negative
"Sudah beli tiket tapi tiba"" di refund tanpa persetujuan",1,negative
Useless app. Always refund your booking requst for movie.,1,negative
Kenapa metode pembayarannya hanya DANA saja sekarang? Uninstall..,1,negative
Good,4,N/A
Tolong tambahkan menu add ons seperti pop corn atau minuman jadi kita engga perlu ngeluarin uang lagi tinggal pesan di aplikasi bersamaan dengan tiket,5,mixed
Easy banget pakai appnya.. selalu beli tiket disini,5,positive
"Yah skrg xxi udah ga ada, adanya hanya cgv :(",2,negative
the UI is easy to use and eye comfort,5,positive
Sering dapat diskon 🤣🤣🤣,5,negative
still need improvement for several things,5,negative
Simple to use...,5,positive
Tolong untuk fitur poin lebih dikembangkan lagi,4,negative
Good apps,4,positive
Mudah digunakan,5,positive
good,5,positive
Cant open it.,1,negative
bintng 5,5,positive
good,5,positive
Memudahkan pemesanan tiket mantapp,5,positive
Mantaps,5,positive
Mudah friendly user,5,positive
"Beli tiket bioskop yg mudah tidak perlu antri, mungkin bisa tambah sistem pembayaran yg lebih banyak",4,positive
Keren,5,positive
Cepet proses pesan tiketnya..,5,positive
Ok,5,positive
mantul banget,1,positive
"Been using this app for years, very helpful",5,positive
Good app,5,positive
"Selalu pake ini buat beli tiket, cukup reliable as a one stop ticket buying place",4,positive
Dikit2 mbayar nggilani cukkk,1,negative
The app wont open,1,positive
Mantul,5,negative
good aplication,5,positive
Aplikasi macet,1,negative
The point is useless. Sorry TIX ID you just lost one Loyal customer. Thanks,1,negative
"Apps super helpfull. Bisa pesen tiket xxi, cgv ama cinepolis. Kurang flix aja niyy biar makin lengkapp ❤️❤️",5,positive
nunggu prosesnya lama,5,negative
Superbbbb,5,positive
"interfacenya fresh, buat pesen dan lihat tempat duduk gampang banget, cuman menurutku sedikit kemahalan sih kalau fee adminnya 4k per tiket. overall good app and recommended buat pesen tiket online",4,positive
Nggak perlu buru2 ke bioskop beli tiket,5,negative
"Akurat, hemat waktu",5,positive
Sangat membantu untuk pembelian tiket,5,positive
"Kenapa pas pilih lokasi di Bali ga muncul daftar bioskopnya (tulisannya ""maaf saat ini tidak ada film yang diputar di bioskop"". Udah di reinstall ulang, tetep aja ga ngaruh ya..tolong di update lagi donk..",2,negative
Woii.. Itu fungsi poin loyalty di tix id stelah beli tiket apa ? kalau gabisa di tukarkan. aku pnya 7000 point yg bkl expired di akhir juni ini. tp sama aja gabisa di tukar. update lah. dlu kan bisa beli voucher. skrng kok ilang.. woi cepat update,1,negative
Ok,5,positive
helpful,5,N/A
"aplikasi bobrok, mau beli tiket aja susah bener demi sistem keamanan katanya jadi gabisa dibeli ckckck ampasss",1,negative
Mantabsss,5,negative
Good,5,positive
"Great app to book tickets, it shows multiple cinemas like XXI and Cinepolis. The only downside is you have to use Dana for payment, hopefully they add more option for the payment in the future.",5,positive
Love it 👍👍,5,positive
Eror terus !!! Bikin baik darah !!!,1,negative
Very Good and easy use App,5,positive
"Tolong diperbaiki, tidak bisa dibuka walaupun menggunakan device high end",1,negative
Baguss,5,positive
Oke,5,negative
"Aplikasi yang sangat membantu dalam kegiatan kita jika ingin menonton film tanpa mengantri. Karena bisa dengan mudah melihat jadwal, dan memesan tiket online.",5,positive
"It's good and simple to order, but there's had additional charge to buy the ticket.",5,mixed
Bikin hidup lebih gampang.,5,positive
"Easy and simple, love this app😍",5,positive
Cepat prosesnya,5,positive
Banyak diskon dan bisa liat kursi enak,5,positive
The best!,5,positive
mantap....,5,positive
Easy to use and fast to access. Keep it up !,5,positive
Gampang & praktis,5,positive
Banyakin promo diskon dong,5,positive
Simple and helpful,5,positive
Good,5,N/A
"Pake dana malah gabisa beli tiket, giliran uda sukses eh direfund. Beli tiket ribet jadi wajib dateng ke XXI",1,negative
Good,5,N/A
"Improvement, nice!",5,positive
Good,5,N/A
a simple way for watching movie,5,positive
Easy to use,5,positive
Memudahkan sekali,5,positive
They keep giving points but there is no way to use the points. We just earn the points and then the points expire. What is the point of booking from the app and earning points.,1,negative
Good,5,N/A
keren,5,positive
Tambah obsi menu pembayaran lain biar tambah cakep,4,mixed
Good,5,positive
It's easy to use ❤,5,positive
Easy to use,5,positive
Memudahkan,5,positive
Mudah & cepat,5,positive
bagus,5,positive
sering ada masalah saat ingin ke laman ringkasan order jadi terkadang tidak bisa melakukan / menyelesaikan pembayaran tiket,2,negative
"So far so good, sayangnya belum bisa beli snack secara online",4,positive
Best,5,positive
Simpel,5,positive
Kerennya Tix.Id👍👍 jagonya hiburan keluarga!! ❤❤,5,positive
"percuma dpt poin loyaltix, tp gak bisa dituker apa², mana udah mau kedaluwarsa pula 🥲🤦🏻‍♂️",3,negative
Good,5,positive
Loyaltix terkumpul tp ga ada gunanya,1,negative
So far so good,5,positive
"Aplikasinya simple, update dan easy to use... transaksimya juga mudah dilakukan...",5,positive
Make your life easier,5,positive
tolong kasih tombol search film,3,negative
Pengunaannya mudah.,5,positive
sangat memudahkan,5,positive
Sangat membantu dan menghemat waktu,5,positive
Good apps,5,positive
Bingung sama point yg ga pernah bisa dipake,2,negative
good app,5,positive
mantab cok!,5,positive
Very convenience,5,positive
Good,5,N/A
Good 👍,5,N/A
"Aplikasi yg sangat menyenangkan, karena ada info mengenai jenis sound system di theater yang memutar film nya, jadi saya bisa pilih jam tayang di studio yang bagus (di Bioskop2 Studio XXI)",5,positive
Good,5,N/A
Ok,5,positive
good app,4,positive
Nganuuu,5,negative
Awsome,5,positive
helpfully,5,positive
"The tix point are useless. I have 31k points and I can't do anything, then now it is going to expire for nothing. The apps itself is useful though, but useful is not enough.",2,negative
Good !!,5,positive
Sangat gampang untuk proses tiket bioskop.,5,positive
sangat baik saya harap ada opsi lain pembayaran selain menggunakan dana,5,positive
Good job,5,positive
Mantap,5,positive
👍,4,N/A
"Useless DANA, why have to put DANA? No one using DANA! Why no option OVO, goPay, Shopeepay?",1,negative
Memudahkan sekali tanpa perlu cek masing-masing bioskop,5,positive
"You should charge one time purchase fee rather than per seat fee in the app, it's too much. Evenmore, there is no reward to claim for LoyalTIX I accumulated. The UI and UX is very pleasant tho.",2,negative
Jika saya terlanjur transfer ke akun mtix sejumlah 100.000 apakah uang saya hilang? Saya baru tahu klo sekarang hanya pakai Dana.,5,negative
Keep up the good work!,5,positive
More easily for me to buy a ticket everytime i need👍👍,5,positive
Easy for buy ticket and we can choice,5,positive
Pembayaran pakai dana doang ternyata...kgk jd deh. Cr yg lain aja.,2,negative
Good as always,5,positive
Easy to use and more informative,5,positive
Surely easy to use,5,positive
Ga boleh nyisain kursi padahal kursinya ga bisa dipilih karena kursi sosial distancing -_,3,negative
Oke lah bisa pakai DANA APLIKASI JOS KALAU BISA KOLABORASI SAMA SHOPEEPAY PEMBAYARAN SHOPÈE PAY,5,positive
Bagussssss bangetttt tapi sayang cuma bisa pake danaa,4,positive
Mudah dan cepat,5,positive
Mantap 😁,5,positive
❤,5,positive
Payment cma bisa dana,1,negative
Good,5,N/A
"Biaya layanannya gileeee bener 4.000/tiket. Alesannya ""biaya resmi yang ditentukan pajak"" Lah di aplikasi resmi nya MTIX aja malah cuma 1.500/tiket. Pajak Resmi yang ditentukan pajak darimananyaaaa coba??? Bohong...",1,negative
Incridible,5,positive
cakeep,5,negative
Helpful,5,positive
Team Support buruk dan terkesan menyalahkan pelanggan atas error pada aplikasi,1,negative
Awesome since I used,5,positive
Disappointed,2,negative
Only dana for payment....,1,negative
Very good app,5,positive
"Aplikasi sampah, loading beli tiket aja bisa sampai sejam, jujur kecewa banget",1,negative
gud,5,positive
"Bought the ticket one day before, suddenly I got notification that my purchase has been refunded. They don't even give you explanation why. How can you run business with this kind of system? Useless app.",1,negative
"Thankyou tix id, because my house to mall its far tysm",5,positive
awesome,5,positive
Mantap,5,positive
Thanks you 😊😊😊,5,positive
Membantu sekaliii,5,positive
"Ini benar-benar CALO TIKET. Gila bener minta biaya layanan per tiket Rp 4000. Dari harga tiket Rp.50.000 Kalo alasan biaya pajak seperti yang dijelaskan ke reviewer dibawah jelas bohong. Kalo pajak jelas muncul diketerangna PPN. yg muncul itu tertera biaya layanan, Kalo dihitung itu biayanya sampai 8%.",1,negative
"enak sih, cuman y gitu",5,positive
Ok,5,positive
Mempermudah dlm bertransaksi mencari hiburan,5,positive
Good,5,N/A
Nice,5,positive
Handy,5,positive
Enak mempermudah beli tiket,5,positive
So simple,5,positive
Bagus dan sangat membantu utk memesan tiket secara daring. Trims Mtix,5,positive
"Very good ui and ux, no unnecessary ads, but the extra prices could be lower",4,positive
Bergelut tiket adalah fight tersusah,5,negative
Get stuck on splash screen,1,negative
Sangat membantu dalam pembelian tiket Online,5,positive
"Sangat mudah dalam pembelian tiket. Namun sedikit saran, untuk pembayaran mungkin diberi pilihan lain selain dana, misal debit/kredit, pembayaran via minimarket, jadi yang tidak punya dana tetap bisa beli tiket di tix id.",5,positive
It cant load even after updating,1,negative
Keren,5,positive
Ok,5,positive
suka aja pake tix ID ga perlu antri,4,positive
Aplikasi yang bagus dan recommende,5,positive
👍,5,positive
Asik bet..,5,positive
Mantullll,5,negative
Sangat membantu pesan tiket di hampir semua bioskop 👍🏻,5,positive
Mantapp,5,negative
Mudah penggunaannya,5,positive
Amazing,5,positive
"Joss memang aplikasi ini. Tpi klo bisa, tambahin metode pembayaran lain, jgn cuman lewat Dana yak... Agak repot soalnya...",5,mixed
more easier buy ticket when we need entertain and heeling ...bravoooo,5,positive
Okay,4,positive
More discount,5,negative
Easy and quick app to buy movie ticket. Terima kasih 🍀,5,positive
Easy to use,5,positive
"sarana pembayarannya tambahin dong jangan lewat dana aja, kaya gopay atau ovo gitu",5,negative
Great app,5,positive
"Sangat memudahkan sekalii, thankyou tix id🥰",5,positive
Great,5,positive
Easy to pick,5,positive
bad server,1,negative
"Biaya layanan mahal tapi aplikasi gak diperbaiki, selalu error kalau mau beli.",3,negative
Sering terjadi gangguan & muncul informasi tunggu beberapa saat lagi. Sudah lebih dr 15 menit menunggu dan tidak ada perubahan. Tau-tau kursi pada habis semua 🤣🤣 via lewat market lain.,1,negative
"Percuma ada program koin loyalitas kalo ga bisa ditukar reward, akhirnya hangus lagi",1,negative
I dont like the payments system,1,positive
"Pertama booking pembayaran ga muncul halaman pembayaran sampai saya coba yang ke 4 kalinya tidak muncul halaman pembayaran, tetapi pas saya lihat denah tempat duduk tempat yg saya pilih itu sudah dibooking oleh syaa sebelumnya saat halaman pembayarannya itu tidak muncul",1,negative
"Tiket terkendala di CGV Teras Kota, tidak bisa diprint. CGV sarankan untuk beli tiket manual, karena nanti tiket yang terkendala bisa di refund. Kok jawaban TIX id tidak bisa refund.. Gimana yah! Update.. Sistem error sudah diperbaiki dan tiket sudah di refund. Terima kasih tim Tix id sudah support dan follow up masalah tsb. Semoga sistemnya bisa sempurna ya :)",4,negative
"saya beli 2x selalu di refund dan beli yang ke 3xnya lama prosesnya akhirnya saya lgsg beli offline, setelah beli di offline tiba2 transaksi di tixnya berhasil,jadi saya harus bayar 2x loh,tolong perbaiki dong aplikasinya masa tix jadi merugikan konsumennya sih!",4,negative
"memudahkan pesan tiket jd gaperlu ngantri, tp tolong dong metode pembayaranny ditambahin agar ga mentok di satu metode aja",5,negative
❤❤,5,positive
"Membantu bgt, gampang cara pakenya",5,positive
Good,5,N/A
Excellent,5,positive
Good,5,positive
happy,5,positive
Awesome,5,positive
Anjir bilangnya apk no 1 kerjaan eror mulu,1,negative
so far so good,5,positive
Alright...seems... already stable,5,mixed
Jadwal XXI kok belum kebuka sih yang hari-hari berikutnya,1,negative
Poin loyaltix udh bnyk. Tp gk ada item yg bs dituker sedangkan sebulan lg kadaluarsa,4,negative
Dibatalin,1,negative
Gue uda pesan tiket di mtix. Bisa2 refund pas gue uda sampe di bioskop. Ga ada sms sama sekali! Dikira ongkos ke bioskop bayar pake kertas kali ya!! Parah lu! Saya jadi ga jadi nonton sama teman saya. Failed aplikasi. Uninstal soon!!!,1,negative
"cok aplikasi taek, org cmn ngrubah tanggal kenapa jd pindah lokasi juga su...",1,negative
Mantap,5,positive
Very Usefull.,5,positive
Mau verifikasi ae susahnya minta ampun,1,negative
Feenya mehong,4,positive
Good,5,positive
"Dah bbrapa kali beli tiket ga bisa di pake karna di dahulukan yang di mtix.. Terakir dokter strange mom kemaren aplikasi error saat jam tayang dan ga bisa scan, duit kaga balik pula.. Mending beli di mtix aja sekrang..",1,negative
"convenience fee nya mahal, dan sering eror terutama setelah beli tiket aplikasinya eror terus",2,negative
Cocok banget disaat pandemi tidak perlu antri beli tiket semua bs dilakukan secara Mandiri termasuk cetak ticket,5,positive
aplikasi gajelas. mau pesen tiket bioskop jadi ga kebagian gara2 aplikasinya ngecrack jelek bgt,1,negative
overall bagus,5,positive
keren,5,positive
mantaapp,5,positive
ngebantu bgt buat beli tiket bioskop biar ga lama ngantrinya,5,mixed
"App konyol, udah bayar tapi tiket gak kunjung terbit, saat jam film mau diputar app error tidak bisa cetak tiket, akhirnya tidak bisa nonton dan tiket tidak bisa refund. Uninstall",1,negative
"Tix loyalty point buat apa? Mau diredeem ga ada pilihan produk/hadiah, ga guna.",1,negative
Nice app,5,positive
Beli tiket nonton jadi lebih enak,5,positive
Work easily😊,5,positive
Mudah pesen tiket bioskop,5,positive
"Masukkan kode ""EJGJYH"" untuk mendapatkan 5000 poin LoyalTIX. Dapat digunakan untuk membeli voucher di Shop nantinya... Kode hanya berlaku 1 kali pakai per akun ya..... Buruan... Gaspolll.. No tipu khusus pengguna baru",5,positive
"Masak pemesanan tiket baru dibuka tpi udah pada abis padahal gw refresh² mulu, ada permainan percaloan, Indonesia banget jijik gw",1,negative
Bagus2 bikin gw ga usah antri di bioskop,5,positive
Aplikasi ticketing favorit,5,positive
Error terus,1,negative
Loved it.,5,positive
bagus,5,positive
"Aplikasi sampah, udah beli tiket, pas hari h gabisa dibuka. Duitnya hangus gabisa direfund. Alesannya server lagi maintanance. Tolol banget maintanance nya jam 11 siang. Makan tu duit haram, ga ridho gua.",1,negative
Mudah dan cepat. Perlu akses pembayaran melalui transfer mobile banking lah.,5,positive
Sangat membantu. Jd gak perlu antri lagi,5,positive
Easy to book ticket,5,positive
"Jelek banget aplikasinya. Beli tiket, habis berhasil auto kerefund sendirinya. Udah tiga kali sampe kursi yg dimau udah ga ada lagi. Giliran pilih kursi yg jauhan langsung berhasil. Orang nonton mau barengan malah harus jauh2an",2,negative
its a good one,5,positive
Ok,4,positive
"aplikasi taiii, gak jelas",1,negative
error mulu + refund 😐,1,negative
"tulisannya tiba tiba tidak ada film diputar & tidak ada bioskop, ya masa di seluruh indonesia sy cek gaada semua. tolong perbaiki, eror ini",3,negative
"Hari ini 9 Mei 2022, dari pagi TIX ID nya bermasalah. Saya udh pesan tiket dan sudah bayar, tetapi masih belum dapat tiketnya. Dan di siang hari, aplikasinya makin lemot, daftar film2nya tidak keluar. Teman saya pun juga mengalami hal yg ini semua.",2,negative
"Very bad apps ever! Error terus, setiap mau liat film pasti error. PARAH",1,negative
Easy to use,5,positive
"Eror, gagal trus untung aja ke refund",1,negative
Nice !!!,5,positive
Okay msti lagging,3,negative
"Padahal udah bayar dan bisa eh tiba"" ke refund sendiri terus kursinya ke isi orang dong. Sering juga buka app nya lama dan sering maintenance. Kalo pas war tiket susah nih kalo app nya begini teruss",2,negative
Bagus,5,positive
"Sudah susah susah dapet tiket malah di refund & aplikasi error, sekarsng kursi penuh semua gak bakal pakai tix id lagi",1,negative
Aplikasi nya sering eror.,5,negative
"Udh beli tiket,malah server error jadi gabisa nyetak tiket alhasil kelewatan jam tayang nya",2,negative
Udah pakai dari April 2018 awal app ini relase dan hari ini pelayanan sangat buruk . Tech supp nya harusnya prepare jika ada 2 film yang bakal meledak . Maaf rating 1,1,negative
Aplikasi busuk. Kerjasama tapi ga du akuin kerjasama resmi dengan XXI. Banyak error juga karena g d anggep sama XXInya,1,negative
"udah bayar tiba tiba beberapa jam kemudian dicancel, dan seat sudah terisi",1,negative
"berawal dari pemesanan tiket, berlanjut hingga proses penyediaan kursi yang berlangsung sangat lama. dan di akhir, tiba-tiba tiketnya direfund tanpa pemberitahuan apa pun. aplikasi menjadi error sepenuhnya, pelayanan bioskop paling buruk.",1,negative
"Untuk kali ini kecewa banget sama aplikasi TIX ID. Baru kali ini aku beli tiket di refund karena bangkunya sudah terisi. Padahal pas aku booking dan beli tiketnya masih tersedia. Selanjutnya, aplikasinya suka error/down sampai akun saya log out padahal tidak saya log out. Tolong untuk pihak pengembang aplikasi TIX ID diperbarui lagi sistem atau servernya. Karena sangat merugikan bagi saya. Terima kasih.",1,negative
"Aplikasi lemot, pembelian tiket selalu gagal",1,negative
"Ga bisa reset password, tolol banget. Loading terus akhirnya ada terjadi kesalahan, setelah back dari verifikasi baru masuk notif nomor verifikasinya. Tolong perbaiki ini, ga bisa diakses sama sekali ini!",1,negative
Lelet,1,N/A
Sumpah aplikasi gembel!!!!!!!! Tolong refund aja ke dana.. lemot parah ni aplikasi. Mana udah beli tiket tp ga bisa di buka buka.,1,negative
Error login,2,negative
Terbaikk,5,positive
ga mampu maintenance aplikasi pa gmn nih? lelet bgt,1,negative
"Bad apps server down, nyampe kasir nama juga ga ada, kacau",1,negative
"Udah pesen tiket, lalu setelah menunggu lumayan lama, dan dapat notifikasi kalau sudah sukses dapat tiketnya. Tetapi waktu mau dicheck di tiket, lama banget loadingnya, dan abis itu down udh appnya. Notifikasi hilang, tiket jg ngga ada. Gimana ini, sy mau nonton utk jam 3 sore ini kejelasannya gimanaaaaaaa!! Mana ngga ada nomor yg bs dihubungi, cm bs email.",2,negative
"Extra admin fee is too much and it is charged for each ticket. Worse, the apps is likely to crash whenever there is a hit in the movie box. Too much traffic shouldn't be the reason since it should accomodate as much.",2,negative
"Apps error ketika saya mau klaim tiket, sungguh mengecewakan. Udah gitu tidaj ad pertanggungjawaban dari pihak TIX.ID akan kerugian tiket saya yg hangus",1,negative
Ini tix knp mau nonton app gabisa dibuka woi,2,negative
SERVER AMPAS,1,positive
its always down i just buyed dr strange movie ticket and the app goes down.,2,negative
"Ga bs bikin akun, verifikasi sms ga masuk2 , app sering crash. Proses menunggu konfirmasi kursi sangat lama, saldo jadi hilang. Not recommended",1,negative
"Trouble pas hari h tiket, kecewa si",1,negative
"You need to hire technical support for your app server, devs.",1,negative
why so stuck,2,negative
App koyok jembut gatau genah mesti error,1,negative
Sudah bayar. Eh dicancel sepihak terus. Maksudnya apa? Sekarang malah tidak bisa akses aplikasinya,1,negative
Can't get into the app till the film started. Bad server.,1,negative
Iddiot app,1,negative
PAS MAU NONTON TIKET GABISA DIBUKA. JANGAN PAKE INI.,1,negative
"Bad experience , gimana nih sudah pesan tiket setelah berkali2 gagal karena error, tp sekalinya udh dapat dan sudah bayar malah tiketnya masih diproses padahal udah 30menit. Masa statusnya masih menunggu kursi sampe skrg??",1,negative
What happened to TIX ID? The fee is high. Where's reward and Promo? 9 May 2022: Waiting too long to book a movie ticket. Been 30 mnt+ and still processing...,2,negative
Good,5,positive
Tidak bisa login dan purchase ticket,2,negative
Mantap lah pokoknya,5,positive
"I can't login, it mentioned there is something wrong, again and again, i dont know why",1,negative
Kesel anjir servernya jelek,1,negative
"Aplikasi sangat tidak bagus,pembelian selalu gagal sampai tiket kursi habis,sangat disayangkan",2,negative
Always loading always failed to order.,1,negative
"Aplikasi terlemot dan gak efisien, tolong di perbaiki dong ya tolol🙏🏽",1,negative
"So hard to order the ticket from this app, been >10x order and it's always been canceled, dunno why",1,negative
giliran film famaous pada nge lag,1,negative
"very good apps, tapi baru saja mencoba registrasi akun baru beberapa kali namun selalu gagal dengan alasan yang tidak jelas",1,negative
Payahhhhhhhh gak bisaaaaa di gunainnnn gak usah download,1,negative
mantappp,5,positive
"Good apps, but i really confuse why we cant booked some XXl theatre more than 1 day? Hope you guys teams can arrange it.",5,mixed
Gg gimang eze untuk membeli tiket,5,negative
Mempermudah pemesanan tiket gk perlu antrii,5,positive
slow respond. very slow. fix the bug.,1,negative
easy to use,5,positive
Simpel dan efisien walaupun plus pajak,4,positive
For personall and single use better to use this than the original provider,5,positive
Good,4,positive
Mempermudah bagi yg malas ngantri 😁,5,positive
Lebih midah dan cpt,4,positive
kenapa ya setiap buka tix id selalu lama dan pemesanan tiket juga jadi yang sehsrusnya hari ini malah kemarin,2,negative
Ok,5,positive
Mantab bener ni aplikasi,5,positive
Please add more payments method such as Virtual Account or Bank Transfer or add more digital wallet vendors. Using only DANA as the payment method is sucks. Thank you!,2,negative
tidak ada notifikasi jika di refund :( kan sebel ya,1,negative
Nice and easy to use. Its like having your own cinema at your finger tips.,5,positive
Why can't the point be exchanged?,1,negative
"Sip, gaperlu antri",5,negative
"Kinda good but please add other payment method like ovo, gopay, etc",3,mixed
Update 👍,5,positive
User interface sangat mudah dan promonya cihuy!,5,positive
B aja,5,negative
"Membantu memesan tiket bioskop,tapi alangkah baik nya gratis tidak ada biaya admin",5,positive
"first experience is good very good, but last week i used this app to booking tickets the app is error, idk why? can u explain about this?",4,mixed
"flawless experience, bakal gantikan mtix nih",5,positive
Keren,5,positive
Good Apps,5,positive
"Poin nya tidak bisa di gunakan, payah 😑",4,negative
Orang dalam,5,positive
helps alot,5,positive
Good,5,positive
Good fast and easy booking,5,positive
"Biaya admin terlalu mahal, sekarang udah jarang promo juga",4,negative
Nice,5,positive
bad service,1,negative
Easy booking,5,positive
Refund tiket secara sepihak.. tanpa notifikasi yang jelas.. worst app ever!!!!!!!!,1,negative
KODE TIX ID ZNBETU,5,negative
Bad apps,1,negative
"Uda lumayan, Kalau bisa ada FILTER berapa orang dewasa dan anak-anak terus untuk lokasi tersedia kursi yang berdekatan. Dan tanggal available nya ya. Kek di app hotel punya itu maksud saya si. CapeK cari satu satu studionya. Semua pada full pula, dari hari 1 hari ke dua gitu pula. Bayangkan berapa studio saya cari semua unavailable. Ampun dah. Kalau uda ada filter memudahkan saya, saya ubah tar jd full bintangnya.",4,negative
Excellent,5,positive
"Coba pembayarannya jangan cuman pake dana, jadi males harus install app lagi. Harusnya pake virtual account aja biar lebih mudah",5,negative
bagus gess,5,positive
Yeah,4,positive
I'd rather buy tickets offline than paying fee PER TICKETS. that fee PER TICKETS is outrageous and stupid if you buy a lot of tickets. Why won't you charge the fee's per transaction ? Isn't this app is to facilitate the transaction ? You already got an ad on the first we open the app and you also charging fees per tickets ? Damn this company is even more greedier than before,1,negative
Pesen tiket ga usah ngantri lagi.. terima kasih mtix,5,positive
Nice,5,positive
Good😎,5,positive
Simple pay,5,mixed
nice app,5,positive
👍👍👍,5,positive
Sangat bagus apknya sumaph gk nyesal mendownload nya apalagi kalau mesan tiket online di film yg ramai peminatnya sumpah itu enak kali,5,positive
I never do the transaction in this app because i think there are many bugs that will get me the worst experience like crashing or force closed. But guess what this app has gone from the worst to useless. Everytime I access in any page it wont load even i just want to check the available seat in my local theatre. Well guess I just try directly go to the theatre.,1,negative
Top markotop,5,positive
Keren,5,positive
"This apps is very friendly, has eyes-catching, easy to find out the movies, familiar to use method of payment. Many Thanks 😊",5,positive
GOOD JOB,5,positive
Need more options except dana,5,negative
Gabisa login. Tiba2 log out pdhl sebelumnya aman2 aja. Udh reset password 3x juga tetep tulisannya kesalahan userID/password,2,negative
fine,5,mixed
Best,5,positive
Very Helpfull,5,positive
ini gimana saya mau bikin password kok ga bisa udh ikutin 8 kombinasi huruf karakter,1,negative
"Gajelas, kesalahan mulu ampe bosen. Ada tax fee 3000 tuh dipake buat pengembangan app biar ga error2. Komplen kayak gini juga paling dibales mohon maaf atas keridaknyamanannya, bla bla bla, pake template. Aplikasi gajelas, adminnya males.",1,negative
"jelek bgt pengen bikin akun baru malah nge stuck, mana g dikasih kodenya",1,negative
"penggunaan sangat mudah, tampilan minimalis namun elegan 👍",5,positive
Tampilan kursi sering tidak muncul terutama di saat tanggal film yang diminati banyak orang rilis,2,negative
Awesome,5,positive
Apk gampang eror,1,positive
"Sering sekali error, ini aplikasi tertolong oleh pembayaran doang pakek dana kalo kayak aplikasi sebelah ga pakek dana ribet. Tolong diperbaiki terlalu sering terjadi error.",1,negative
"Aplikasinya sudah sering sekali eror tapi tidak pernah ada kemajuan. Pasti akan terus terulang, apalagi jika ada film yang ramai peminatnya. Sangat disayangkan, TIX ID seperti tidak belajar dari kesalahan yang sudah terjadi. KECEWA.",2,negative
"make it easy to buy cinema tickets , it's really fast",5,positive
good so far Update 5/5/22: Setelah diupdate ke versi terbaru malah eror. Tidak muncul pilihan kursi. Ausah di refresh berkali kali.,1,negative
Kok gak ada pilihan kursinya. Masa disemua Jam ufah kebooking full. Ngadi2 nih sistem,1,negative
